time;survival
0,03;0,995778833
0,04;0,995607079
0,05;0,99494599
0,06;0,993312274
0,07;0,99045095
0,08;0,986954322
0,09;0,983611188
0,1;0,980869215
0,11;0,977956512
0,12;0,973828819
0,13;0,967947972
0,14;0,961518918
0,15;0,956121449
0,16;0,952616252
0,17;0,949477586
0,18;0,944685531
0,19;0,936860164
0,2;0,926668289
0,21;0,91518495
0,22;0,903386422
0,23;0,891944541
0,24;0,881472418
0,25;0,872239384
0,26;0,863493282
0,27;0,854293642
0,28;0,844224961
0,29;0,834375705
0,3;0,826101184
0,31;0,820186236
0,32;0,815839628
0,33;0,812000824
0,34;0,807941028
0,35;0,803815444
0,36;0,799924677
0,37;0,796458
0,38;0,793318487
0,39;0,790363762
0,4;0,787417266
0,41;0,784217648
0,42;0,780491015
0,43;0,776077814
0,44;0,771092214
0,45;0,765689138
0,46;0,76018503
0,47;0,755269597
0,48;0,751682849
0,49;0,749685557
0,5;0,748469241
0,51;0,74708197
0,52;0,744795134
0,53;0,74136125
0,54;0,736597903
0,55;0,730721661
0,56;0,724779339
0,57;0,719916186
0,58;0,716567911
0,59;0,713743938
0,6;0,710288645
0,61;0,705744384
0,62;0,701009073
0,63;0,69712972
0,64;0,694439428
0,65;0,691931477
0,66;0,688459419
0,67;0,683631666
0,68;0,678425833
0,69;0,673956144
0,7;0,670651928
0,71;0,667741667
0,72;0,664340074
0,73;0,660159026
0,74;0,655922629
0,75;0,652444952
0,76;0,649973206
0,77;0,647825542
0,78;0,645241946
0,79;0,641969507
0,8;0,638559033
0,81;0,63562453
0,82;0,63331087
0,83;0,631043812
0,84;0,62819868
0,85;0,624711073
0,86;0,621347285
0,87;0,618925708
0,88;0,617522259
0,89;0,616147946
0,9;0,613747435
0,91;0,609985949
0,92;0,605528531
0,93;0,601104224
0,94;0,597037885
0,95;0,593111742
0,96;0,589075698
0,97;0,584903836
0,98;0,580861452
0,99;0,57722599
1;0,574010417
1,01;0,57089525
1,02;0,567551071
1,03;0,564026017
1,04;0,560827515
1,05;0,558473291
1,06;0,556931945
1,07;0,55552558
1,08;0,553560663
1,09;0,550975355
1,1;0,548427585
1,11;0,546586649
1,12;0,54535433
1,13;0,543785989
1,14;0,540930412
1,15;0,536797466
1,16;0,532422877
1,17;0,528852745
