tempo;sobrevida
0;0,990352159
0,01;0,990352159
0,02;0,990352159
0,03;0,987940198
0,04;0,987940198
0,05;0,987940198
0,06;0,987940198
0,07;0,987940198
0,08;0,987940198
0,09;0,985528238
0,1;0,985528238
0,11;0,985528238
0,12;0,971056476
0,13;0,971056476
0,14;0,971056476
0,15;0,961408634
0,16;0,961408634
0,17;0,961408634
0,18;0,961408634
0,19;0,961408634
0,2;0,961408634
0,21;0,961408634
0,22;0,961408634
0,23;0,961408634
0,24;0,963820595
0,25;0,963820595
0,26;0,963820595
0,27;0,958996674
0,28;0,958996674
0,29;0,958996674
0,3;0,958996674
0,31;0,958996674
0,32;0,958996674
0,33;0,956584714
0,34;0,956584714
0,35;0,956584714
0,36;0,954172753
0,37;0,954172753
0,38;0,954172753
0,39;0,949348832
0,4;0,949348832
0,41;0,949348832
0,42;0,949348832
0,43;0,949348832
0,44;0,949348832
0,45;0,946936872
0,46;0,946936872
0,47;0,946936872
0,48;0,942112951
0,49;0,942112951
0,5;0,942112951
0,51;0,937289031
0,52;0,937289031
0,53;0,937289031
0,54;0,937289031
0,55;0,937289031
0,56;0,937289031
0,57;0,93246511
0,58;0,93246511
0,59;0,93246511
0,6;0,927641189
0,61;0,927641189
0,62;0,927641189
0,63;0,925229229
0,64;0,925229229
0,65;0,925229229
0,66;0,927641189
0,67;0,927641189
0,68;0,927641189
0,69;0,920405308
0,7;0,920405308
0,71;0,920405308
0,72;0,920405308
0,73;0,920405308
0,74;0,920405308
0,75;0,917993348
0,76;0,917993348
0,77;0,917993348
0,78;0,917993348
0,79;0,917993348
0,8;0,917993348
0,81;0,915581387
0,82;0,915581387
0,83;0,915581387
0,84;0,910757467
0,85;0,910757467
0,86;0,910757467
0,87;0,908345506
0,88;0,908345506
0,89;0,908345506
0,9;0,901109625
0,91;0,901109625
0,92;0,901109625
0,93;0,901109625
0,94;0,901109625
0,95;0,901109625
0,96;0,898697665
0,97;0,898697665
0,98;0,898697665
0,99;0,896285705
1;0,896285705
1,01;0,896285705
1,02;0,891461784
1,03;0,891461784
1,04;0,891461784
1,05;0,889049824
1,06;0,889049824
1,07;0,889049824
1,08;0,886637863
1,09;0,886637863
1,1;0,886637863
1,11;0,884225903
1,12;0,884225903
1,13;0,884225903
1,14;0,884225903
1,15;0,884225903
1,16;0,884225903
1,17;0,884225903
1,18;0,884225903
1,19;0,884225903
1,2;0,884225903
1,21;0,884225903
1,22;0,884225903
1,23;0,884225903
1,24;0,884225903
1,25;0,884225903
1,26;0,881813942
1,27;0,881813942
1,28;0,881813942
1,29;0,874578061
1,3;0,874578061
1,31;0,874578061
1,32;0,869754141
1,33;0,869754141
1,34;0,869754141
1,35;0,86251826
1,36;0,86251826
1,37;0,86251826
1,38;0,857694339
1,39;0,857694339
1,4;0,857694339
1,41;0,855282379
1,42;0,855282379
1,43;0,855282379
1,44;0,852870418
1,45;0,852870418
1,46;0,852870418
1,47;0,850458458
1,48;0,850458458
1,49;0,850458458
1,5;0,850458458
1,51;0,850458458
1,52;0,850458458
1,53;0,845634537
1,54;0,845634537
1,55;0,845634537
1,56;0,843222577
1,57;0,843222577
1,58;0,843222577
1,59;0,838398656
1,6;0,838398656
1,61;0,838398656
1,62;0,831162775
1,63;0,831162775
1,64;0,831162775
1,65;0,831162775
1,66;0,831162775
1,67;0,831162775
1,68;0,826338854
1,69;0,826338854
1,7;0,826338854
1,71;0,826338854
1,72;0,826338854
1,73;0,826338854
1,74;0,821514934
1,75;0,821514934
1,76;0,821514934
1,77;0,816691013
1,78;0,816691013
1,79;0,816691013
1,8;0,807043171
1,81;0,807043171
1,82;0,807043171
1,83;0,804631211
1,84;0,804631211
1,85;0,804631211
1,86;0,802219251
1,87;0,802219251
1,88;0,802219251
1,89;0,79739533
1,9;0,79739533
1,91;0,79739533
1,92;0,792571409
1,93;0,792571409
1,94;0,792571409
1,95;0,790159449
1,96;0,790159449
1,97;0,790159449
1,98;0,785335528
1,99;0,785335528
2;0,790159449
2,01;0,787747489
2,02;0,787747489
2,03;0,787747489
2,04;0,780511607
2,05;0,780511607
2,06;0,780511607
2,07;0,773275726
2,08;0,773275726
2,09;0,773275726
2,1;0,768451806
2,11;0,768451806
2,12;0,768451806
2,13;0,766039845
2,14;0,766039845
2,15;0,766039845
2,16;0,766039845
2,17;0,766039845
2,18;0,766039845
2,19;0,763627885
2,2;0,763627885
2,21;0,763627885
2,22;0,761215925
2,23;0,761215925
2,24;0,761215925
2,25;0,758803964
2,26;0,758803964
2,27;0,758803964
2,28;0,753980044
2,29;0,753980044
2,3;0,753980044
2,31;0,751568083
2,32;0,751568083
2,33;0,751568083
2,34;0,749156123
2,35;0,749156123
2,36;0,749156123
2,37;0,746744162
2,38;0,746744162
2,39;0,746744162
2,4;0,741920242
2,41;0,741920242
2,42;0,741920242
2,43;0,734684361
2,44;0,734684361
2,45;0,734684361
2,46;0,72986044
2,47;0,72986044
2,48;0,72986044
2,49;0,725036519
2,5;0,725036519
2,51;0,725036519
2,52;0,720212598
2,53;0,720212598
2,54;0,720212598
2,55;0,717800638
2,56;0,717800638
2,57;0,717800638
2,58;0,715388678
2,59;0,715388678
2,6;0,715388678
2,61;0,710564757
2,62;0,710564757
2,63;0,710564757
2,64;0,710564757
2,65;0,710564757
2,66;0,710564757
2,67;0,705740836
2,68;0,705740836
2,69;0,705740836
2,7;0,700916916
2,71;0,700916916
2,72;0,700916916
2,73;0,698504955
2,74;0,698504955
2,75;0,698504955
2,76;0,696092995
2,77;0,696092995
2,78;0,696092995
2,79;0,693681035
2,8;0,693681035
2,81;0,693681035
2,82;0,686445153
2,83;0,686445153
2,84;0,686445153
2,85;0,676797312
2,86;0,676797312
2,87;0,676797312
2,88;0,66232555
2,89;0,66232555
2,9;0,66232555
2,91;0,650265748
2,92;0,650265748
2,93;0,650265748
2,94;0,643029867
2,95;0,643029867
2,96;0,643029867
2,97;0,640617907
2,98;0,640617907
2,99;0,640617907
3;0,633382026
3,01;0,633382026
3,02;0,633382026
3,03;0,628558105
3,04;0,628558105
3,05;0,628558105
3,06;0,628558105
3,07;0,628558105
3,08;0,628558105
3,09;0,623734184
3,1;0,623734184
3,11;0,623734184
3,12;0,618910263
3,13;0,618910263
3,14;0,618910263
3,15;0,616498303
3,16;0,616498303
3,17;0,616498303
3,18;0,609262422
3,19;0,609262422
3,2;0,609262422
3,21;0,609262422
3,22;0,609262422
3,23;0,609262422
3,24;0,609262422
3,25;0,609262422
3,26;0,609262422
3,27;0,606850462
3,28;0,606850462
3,29;0,606850462
3,3;0,604438501
3,31;0,604438501
3,32;0,604438501
3,33;0,602026541
3,34;0,602026541
3,35;0,602026541
3,36;0,59720262
3,37;0,59720262
3,38;0,59720262
3,39;0,59479066
3,4;0,59479066
3,41;0,59479066
3,42;0,587554779
3,43;0,587554779
3,44;0,587554779
3,45;0,580318898
3,46;0,580318898
3,47;0,580318898
3,48;0,580318898
3,49;0,580318898
3,5;0,580318898
3,51;0,577906937
3,52;0,577906937
3,53;0,577906937
3,54;0,577906937
3,55;0,577906937
3,56;0,577906937
3,57;0,575494977
3,58;0,575494977
3,59;0,575494977
3,6;0,573083017
3,61;0,573083017
3,62;0,573083017
3,63;0,570671056
3,64;0,570671056
3,65;0,570671056
3,66;0,568259096
3,67;0,568259096
3,68;0,568259096
3,69;0,565847136
3,7;0,565847136
3,71;0,565847136
3,72;0,561023215
3,73;0,561023215
3,74;0,561023215
3,75;0,558611255
3,76;0,558611255
3,77;0,558611255
3,78;0,551375373
3,79;0,551375373
3,8;0,551375373
3,81;0,548963413
3,82;0,548963413
3,83;0,548963413
3,84;0,546551453
3,85;0,546551453
3,86;0,546551453
3,87;0,541727532
3,88;0,541727532
3,89;0,541727532
3,9;0,536903611
3,91;0,536903611
3,92;0,536903611
3,93;0,534491651
3,94;0,534491651
3,95;0,534491651
3,96;0,52966773
3,97;0,52966773
3,98;0,52966773
3,99;0,52725577
4;0,52725577
4,01;0,52725577
4,02;0,520019889
4,03;0,520019889
4,04;0,520019889
4,05;0,512784008
4,06;0,512784008
4,07;0,512784008
4,08;0,510372047
4,09;0,510372047
4,1;0,510372047
4,11;0,505548127
4,12;0,505548127
4,13;0,505548127
4,14;0,498312246
4,15;0,498312246
4,16;0,498312246
4,17;0,495900285
4,18;0,495900285
4,19;0,495900285
4,2;0,491076364
4,21;0,491076364
4,22;0,491076364
4,23;0,488664404
4,24;0,488664404
4,25;0,488664404
4,26;0,483840483
4,27;0,483840483
4,28;0,483840483
4,29;0,479016563
4,3;0,479016563
4,31;0,479016563
4,32;0,474192642
4,33;0,474192642
4,34;0,474192642
4,35;0,466956761
4,36;0,466956761
4,37;0,466956761
4,38;0,464544801
4,39;0,464544801
4,4;0,464544801
4,41;0,45972088
4,42;0,45972088
4,43;0,45972088
4,44;0,45972088
4,45;0,45972088
4,46;0,45972088
4,47;0,457308919
4,48;0,457308919
4,49;0,457308919
4,5;0,457308919
4,51;0,457308919
4,52;0,457308919
4,53;0,454896959
4,54;0,454896959
4,55;0,454896959
4,56;0,450073038
4,57;0,450073038
4,58;0,450073038
4,59;0,450073038
4,6;0,450073038
4,61;0,450073038
4,62;0,445249118
4,63;0,445249118
4,64;0,445249118
4,65;0,438013237
4,66;0,438013237
4,67;0,438013237
4,68;0,435601276
4,69;0,435601276
4,7;0,435601276
4,71;0,433189316
4,72;0,433189316
4,73;0,433189316
4,74;0,433189316
4,75;0,433189316
4,76;0,433189316
4,77;0,433189316
4,78;0,433189316
4,79;0,433189316
4,8;0,433189316
4,81;0,433189316
4,82;0,433189316
4,83;0,430777356
4,84;0,430777356
4,85;0,430777356
4,86;0,428365395
4,87;0,428365395
4,88;0,428365395
4,89;0,425953435
4,9;0,425953435
4,91;0,425953435
4,92;0,421129514
4,93;0,421129514
4,94;0,421129514
4,95;0,418717554
4,96;0,418717554
4,97;0,418717554
4,98;0,416305593
4,99;0,416305593
5;0,416305593
5,01;0,406657752
5,02;0,406657752
5,03;0,406657752
5,04;0,399421871
5,05;0,399421871
5,06;0,399421871
5,07;0,39459795
5,08;0,39459795
5,09;0,39459795
5,1;0,389774029
5,11;0,389774029
5,12;0,389774029
5,13;0,382538148
5,14;0,382538148
5,15;0,382538148
5,16;0,380126188
5,17;0,380126188
5,18;0,380126188
5,19;0,372890307
5,2;0,372890307
5,21;0,372890307
5,22;0,372890307
5,23;0,372890307
5,24;0,372890307
5,25;0,368066386
5,26;0,368066386
5,27;0,368066386
5,28;0,365654426
5,29;0,365654426
5,3;0,365654426
5,31;0,363242466
5,32;0,363242466
5,33;0,363242466
5,34;0,360830505
5,35;0,360830505
5,36;0,360830505
5,37;0,360830505
5,38;0,360830505
5,39;0,360830505
5,4;0,358418545
5,41;0,358418545
5,42;0,358418545
5,43;0,351182664
5,44;0,351182664
5,45;0,351182664
5,46;0,348770703
5,47;0,348770703
5,48;0,348770703
5,49;0,343946783
5,5;0,343946783
5,51;0,343946783
5,52;0,339122862
5,53;0,339122862
5,54;0,339122862
5,55;0,336710902
5,56;0,336710902
5,57;0,336710902
5,58;0,334298941
5,59;0,334298941
5,6;0,334298941
5,61;0,334298941
5,62;0,334298941
5,63;0,334298941
5,64;0,334298941
5,65;0,334298941
5,66;0,334298941
5,67;0,334298941
5,68;0,334298941
5,69;0,334298941
5,7;0,32706306
5,71;0,32706306
5,72;0,32706306
5,73;0,319827179
5,74;0,319827179
5,75;0,319827179
5,76;0,317415219
5,77;0,317415219
5,78;0,317415219
5,79;0,317415219
5,8;0,317415219
5,81;0,317415219
5,82;0,317415219
5,83;0,317415219
5,84;0,317415219
5,85;0,315003258
5,86;0,315003258
5,87;0,315003258
5,88;0,310179338
5,89;0,310179338
5,9;0,310179338
5,91;0,305355417
5,92;0,305355417
5,93;0,305355417
5,94;0,302943457
5,95;0,302943457
5,96;0,302943457
5,97;0,295707576
5,98;0,295707576
5,99;0,295707576
6;0,293295615
6,01;0,293295615
6,02;0,293295615
6,03;0,293295615
6,04;0,293295615
6,05;0,293295615
6,06;0,293295615
6,07;0,293295615
6,08;0,293295615
6,09;0,293295615
6,1;0,293295615
6,11;0,293295615
6,12;0,290883655
6,13;0,290883655
6,14;0,290883655
6,15;0,286059734
6,16;0,286059734
6,17;0,286059734
6,18;0,281235813
6,19;0,281235813
6,2;0,281235813
6,21;0,278823853
6,22;0,278823853
6,23;0,278823853
6,24;0,276411893
6,25;0,276411893
6,26;0,276411893
6,27;0,276411893
6,28;0,276411893
6,29;0,276411893
6,3;0,273999932
6,31;0,273999932
6,32;0,273999932
6,33;0,273999932
6,34;0,273999932
6,35;0,273999932
6,36;0,273999932
6,37;0,273999932
6,38;0,273999932
6,39;0,273999932
6,4;0,273999932
6,41;0,273999932
6,42;0,273999932
6,43;0,273999932
6,44;0,273999932
6,45;0,273999932
6,46;0,273999932
6,47;0,273999932
6,48;0,273999932
6,49;0,273999932
6,5;0,273999932
6,51;0,273999932
6,52;0,273999932
6,53;0,273999932
6,54;0,273999932
6,55;0,273999932
6,56;0,273999932
